response_id,source,age_group,service_length,job_level,imputation_count,flag_count,HL1,HL2,HL3,HL4,HL5,HL6,HL7,TC1,TC2,TC3,TC4,TC5,TC6,LE1,LE2,LE3,LE4,LE5,LE6,TE1,TE2,TE3,TE4,TE5,TE6,TE7,Hybrid_Learning,Trainer_Competence,Learner_Engagement,Training_Effectiveness
Digital-23,digital,35–44,11–20 years,Officer,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,1,3,1,1,1.3333333333333333,2.142857142857143
Digital-24,digital,45–54,Above 20 years,Managerial,0,0,5,4,5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.571428571428571,4.5,4.833333333333333,5
Digital-25,digital,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,4.142857142857143
Digital-26,digital,35–44,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,4.285714285714286
Digital-29,digital,35–44,11–20 years,Officer,0,0,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,4,5,4.142857142857143,4,5,4.285714285714286
Digital-31,digital,35–44,11–20 years,Officer,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,3.7142857142857144,4,4.666666666666667,4
Digital-32,digital,25–34,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4.333333333333333,4,4.857142857142857
Digital-34,digital,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Digital-36,digital,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,5
Digital-37,digital,35–44,11–20 years,Officer,0,0,3,3,3,3,3,3,3,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,3,4.166666666666667,4.166666666666667,5
Digital-38,digital,55 and above,Above 20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Digital-39,digital,25–34,5–10 years,Managerial,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
Digital-40,digital,25–34,5–10 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5
Digital-41,digital,35–44,11–20 years,Managerial,0,0,4,5,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4.571428571428571,4.5,4.5,4.571428571428571
Digital-42,digital,45–54,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
Digital-43,digital,35–44,11–20 years,Officer,0,0,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,3.7142857142857144,3.3333333333333335,3.6666666666666665,5
Digital-44,digital,35–44,11–20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-45,digital,45–54,Above 20 years,Managerial,0,0,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2.5714285714285716,3,2.8333333333333335,3
Digital-46,digital,35–44,11–20 years,Officer,0,0,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.4285714285714284,3,3,3
Digital-47,digital,35–44,11–20 years,Managerial,0,0,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4.714285714285714,4.833333333333333,5,4.714285714285714
Digital-50,digital,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,4.333333333333333,4.833333333333333,4.428571428571429
Digital-51,digital,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4.285714285714286
Digital-52,digital,35–44,11–20 years,Officer,0,0,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4.428571428571429,5,5,4.142857142857143
Digital-53,digital,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-56,digital,35–44,11–20 years,Officer,0,0,1,2,3,4,5,5,4,5,4,4,4,4,4,2,5,5,5,5,5,5,4,4,4,4,4,5,3.4285714285714284,4.166666666666667,4.5,4.285714285714286
Digital-58,digital,25–34,5–10 years,Managerial,0,0,4,4,5,4,5,5,5,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4.571428571428571,4,3.5,4
Digital-60,digital,55 and above,Above 20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Digital-61,digital,35–44,11–20 years,Managerial,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4
Digital-62,digital,35–44,Above 20 years,Managerial,0,0,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4.142857142857143,4,4.166666666666667,4.142857142857143
Manual-01,manual,35–44,11–20 years,Clerical,0,0,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4.285714285714286,5,4,4.285714285714286
Manual-02,manual,25–34,5–10 years,Officer,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
Manual-03,manual,35–44,11–20 years,Clerical,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-04,manual,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,3.5,3.7142857142857144
Manual-06,manual,35–44,11–20 years,Clerical,0,0,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4.428571428571429,4.5,4.666666666666667,5
Manual-07,manual,35–44,11–20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.333333333333333,5,5
Manual-08,manual,25–34,Below 5 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-09,manual,35–44,11–20 years,Clerical,0,0,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,4.285714285714286,4,4.5,4.285714285714286
Manual-10,manual,35–44,5–10 years,Clerical,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4
Manual-11,manual,35–44,11–20 years,Managerial,0,0,3,3,3,1,3,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3.5,3.8333333333333335,3.2857142857142856
Manual-12,manual,25–34,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4.571428571428571
Manual-13,manual,45–54,Above 20 years,Clerical,0,0,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,5,5,4.142857142857143,4.166666666666667,5,4.285714285714286
Manual-14,manual,25–34,5–10 years,Clerical,0,0,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,4.285714285714286,5,4.666666666666667,4.571428571428571
Manual-15,manual,45–54,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-16,manual,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manual-17,manual,25–34,5–10 years,Clerical,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4.285714285714286
Manual-19,manual,25–34,5–10 years,Officer,0,0,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,3.857142857142857,4.333333333333333,4.666666666666667,4.428571428571429
Manual-21,manual,25–34,5–10 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.333333333333333,5,5
Manual-22,manual,45–54,11–20 years,Clerical,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4.166666666666667,4
Manual-23,manual,25–34,Below 5 years,Officer,0,0,4,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4.428571428571429,4.833333333333333,4.833333333333333,4.857142857142857
Manual-24,manual,25–34,5–10 years,Officer,0,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.571428571428571,5,5,5
Manual-25,manual,,Above 20 years,Clerical,1,0,3,4,4,3,2,3.333,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3.333285714285714,4,3.8333333333333335,4
Manual-27,manual,45–54,11–20 years,Clerical,0,0,4,4,5,5,4,2,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,3.6666666666666665,4.333333333333333,4.142857142857143
Manual-28,manual,35–44,11–20 years,Officer,0,0,4,4,5,4,5,4,5,5,5,5,4,4,4,4,5,5,4,5,5,4,5,5,5,5,4,4,4.428571428571429,4.5,4.666666666666667,4.571428571428571
Manual-29,manual,35–44,11–20 years,Clerical,0,0,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5,4.714285714285714,4.833333333333333,4.666666666666667,4.714285714285714
Manual-30,manual,35–44,5–10 years,Officer,0,0,4,4,4,5,4,5,5,4,5,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,4.428571428571429,4.5,4.333333333333333,4.857142857142857
Manual-31,manual,25–34,11–20 years,Clerical,0,0,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.714285714285714,4,5,5
Manual-33,manual,35–44,11–20 years,Managerial,0,0,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4.166666666666667,4,4
Manual-35,manual,35–44,11–20 years,Officer,0,0,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,5,4,4,4,4,4,3.6666666666666665,3.8333333333333335,4.142857142857143
Manual-36,manual,35–44,5–10 years,Officer,0,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.833333333333333,5,5
Manual-37,manual,,,Clerical,0,0,5,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4.714285714285714,4.666666666666667,5,4.571428571428571
Manual-38,manual,55 and above,11–20 years,Managerial,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5,4.857142857142857,5,4.5,4.571428571428571
Manual-39,manual,35–44,11–20 years,Officer,0,0,5,4,5,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.285714285714286,4.5,5,5
Manual-41,manual,35–44,Below 5 years,Officer,0,0,5,5,4,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4.857142857142857,4.666666666666667,4.5,5
Manual-42,manual,25–34,5–10 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,4.666666666666667,4.714285714285714
Manual-46,manual,25–34,5–10 years,Officer,1,0,4,3,4,4,3,5,5,4,4,4,4,3,4,4,3,2,3,4,3,4,4,4,4,4,3,3,4,3.8333333333333335,3.1666666666666665,3.7142857142857144
Manual-47,manual,25–34,5–10 years,Officer,0,0,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4.285714285714286,4.166666666666667,4,4.142857142857143
Manual-48,manual,35–44,5–10 years,Officer,0,0,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,3,3.7142857142857144,4,3.6666666666666665,3.4285714285714284
Manual-50,manual,55 and above,11–20 years,Managerial,0,0,4,4,4,5,4,5,5,4,4,4,4,4,5,3,3,4,4,4,4,4,3,3,4,4,4,4,4.428571428571429,4.166666666666667,3.6666666666666665,3.7142857142857144
Manual-51,manual,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-52,manual,45–54,Above 20 years,Managerial,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-53,manual,35–44,11–20 years,Officer,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-54,manual,25–34,5–10 years,Officer,0,0,5,5,4,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4.714285714285714,4.333333333333333,4,4.285714285714286
Manual-55,manual,45–54,Above 20 years,Officer,0,0,5,4,5,4,4,4,4,4,5,4,4,5,4,5,4,4,5,4,4,4,5,4,5,5,5,5,4.285714285714286,4.333333333333333,4.333333333333333,4.714285714285714
Manual-56,manual,25–34,Below 5 years,Officer,0,0,3,4,2,3,2,3,3,4,4,3,4,4,2,4,4,4,4,4,4,4,2,3,4,2,2,2,2.857142857142857,3.5,4,2.7142857142857144
Manual-57,manual,25–34,5–10 years,Officer,0,0,4,4,4,5,5,5,5,5,5,4,5,4,4,5,5,4,5,4,4,5,4,4,4,4,4,4,4.571428571428571,4.5,4.5,4.142857142857143
Manual-58,manual,35–44,11–20 years,Officer,0,0,2,2,1,2,1,1,1,2,1,2,2,2,1,2,5,5,5,4,5,4,4,4,5,5,4,5,1.4285714285714286,1.6666666666666667,4.333333333333333,4.428571428571429
Manual-60,manual,35–44,11–20 years,Officer,0,0,4,3,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,3.5714285714285716,4,4.166666666666667,4.142857142857143
Manual-62,manual,35–44,11–20 years,Officer,0,0,4,3,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3.857142857142857,3.8333333333333335,3.8333333333333335,4
Manual-63,manual,25–34,Below 5 years,Clerical,0,0,4,2,4,4,1,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3.2857142857142856,4.5,5,4.857142857142857
Manual-64,manual,35–44,5–10 years,Officer,0,0,4,5,4,5,4,4,4,5,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,5,5,4,4.285714285714286,4.5,4.333333333333333,4.428571428571429
Manual-65,manual,35–44,11–20 years,Clerical,0,0,5,4,4,4,5,5,5,4,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,4,5,4.571428571428571,4.666666666666667,4.333333333333333,4.714285714285714
Manual-66,manual,35–44,11–20 years,Clerical,0,0,5,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,4.428571428571429,4.333333333333333,4.666666666666667,4.571428571428571
Manual-67,manual,35–44,11–20 years,Officer,0,0,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4.285714285714286,4.166666666666667,4.5,4.285714285714286
Manual-68,manual,35–44,11–20 years,Clerical,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Manual-70,manual,25–34,Below 5 years,Officer,0,0,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,3,5,4,5,5,4,5,4,5,4.714285714285714,4.166666666666667,4.166666666666667,4.571428571428571
